e=2843, method=EC, possExceptions=[229824], time=5.022195339202881
e=2848, method=EC, possExceptions=[], time=4.649572134017944
e=2868, method=EC, possExceptions=[], time=4.607481241226196
e=2876, method=EC, possExceptions=[], time=4.287919759750366
e=2885, method=EC, possExceptions=[], time=33.31395149230957
e=2896, method=EC, possExceptions=[], time=2.4811604022979736
e=2912, method=EC, possExceptions=[], time=3.5080296993255615
e=2919, method=EC, possExceptions=[], time=4.261089324951172
e=2920, method=EC, possExceptions=[], time=5.540438890457153
e=2939, method=EC, possExceptions=[], time=5.608086109161377
e=2946, method=EC, possExceptions=[], time=6.110201835632324
e=2956, method=EC, possExceptions=[], time=5.386240243911743
e=2963, method=EC, possExceptions=[], time=4.700352191925049
e=2974, method=EC, possExceptions=[], time=4.970074892044067
e=2975, method=EC, possExceptions=[], time=4.562900543212891
e=2978, method=EC, possExceptions=[], time=4.619967222213745
e=2992, method=EC, possExceptions=[], time=4.402464151382446
e=3023, method=EC, possExceptions=[], time=5.163776636123657
e=3041, method=EC, possExceptions=[], time=33.01629018783569
e=3044, method=EC, possExceptions=[], time=2.4478392601013184
e=3048, method=EC, possExceptions=[], time=3.431204080581665
e=3058, method=EC, possExceptions=[], time=3.894655227661133
e=3066, method=EC, possExceptions=[], time=5.5319929122924805
e=3071, method=EC, possExceptions=[], time=5.2718493938446045
e=3079, method=EC, possExceptions=[72000, 3505158249614343], time=6.160078525543213
e=3085, method=EC, possExceptions=[346085], time=5.370553493499756
e=3098, method=EC, possExceptions=[], time=4.898683071136475
e=3102, method=EC, possExceptions=[], time=5.27240777015686
e=3107, method=EC, possExceptions=[], time=4.594642400741577
e=3115, method=EC, possExceptions=[], time=4.553938150405884
e=3130, method=EC, possExceptions=[], time=4.541109561920166
e=3135, method=EC, possExceptions=[], time=5.11017370223999
e=3139, method=EC, possExceptions=[], time=22.552830696105957
